% Created using /stochastic/trunk/tools/piCurves/piCurve.py
% and /home/andrew.matas/repositories/stochastic/trunk/analyses/O2/iso/results/PI_curve/make_o1o2_py_curve.py
%
# f (Hz)	sigma(f)	PI(f)
4.053438e+02	3.063546e-03	1.619192e-05
4.053750e+02	3.064620e-03	1.619773e-05
4.054062e+02	3.069514e-03	1.620355e-05
4.054375e+02	3.070290e-03	1.620939e-05
4.054688e+02	3.076297e-03	1.621523e-05
4.055000e+02	3.092643e-03	1.622106e-05
4.055312e+02	3.080371e-03	1.622688e-05
4.055625e+02	3.080728e-03	1.623273e-05
4.055938e+02	3.084938e-03	1.623857e-05
4.056250e+02	3.090459e-03	1.624440e-05
4.056562e+02	3.097663e-03	1.625024e-05
4.056875e+02	3.105135e-03	1.625609e-05
4.057188e+02	3.106500e-03	1.626194e-05
4.057500e+02	3.109716e-03	1.626778e-05
4.057812e+02	3.112993e-03	1.627362e-05
4.058125e+02	3.113483e-03	1.627948e-05
4.058438e+02	3.124932e-03	1.628534e-05
4.058750e+02	3.128444e-03	1.629118e-05
4.059062e+02	3.128725e-03	1.629702e-05
4.059375e+02	3.136173e-03	1.630289e-05
4.059688e+02	3.139418e-03	1.630876e-05
4.060000e+02	3.369218e-03	1.631461e-05
4.060312e+02	3.155946e-03	1.632046e-05
4.060625e+02	3.157588e-03	1.632633e-05
4.060938e+02	3.165170e-03	1.633220e-05
4.061250e+02	3.171626e-03	1.633806e-05
4.061562e+02	3.171829e-03	1.634392e-05
4.061875e+02	3.173782e-03	1.634980e-05
4.062188e+02	3.180198e-03	1.635568e-05
4.062500e+02	3.186425e-03	1.636154e-05
4.062812e+02	3.193400e-03	1.636741e-05
4.063125e+02	3.196458e-03	1.637329e-05
4.063438e+02	3.199083e-03	1.637918e-05
4.063750e+02	3.202554e-03	1.638505e-05
4.064062e+02	3.207831e-03	1.639092e-05
4.064375e+02	6.240061e-03	1.639681e-05
4.064688e+02	6.274107e-03	1.640270e-05
4.065000e+02	6.357258e-03	1.640858e-05
4.065312e+02	6.339579e-03	1.641446e-05
4.065625e+02	6.382043e-03	1.642036e-05
4.065938e+02	3.230120e-03	1.642626e-05
4.066250e+02	3.234397e-03	1.643214e-05
4.066562e+02	3.237974e-03	1.643803e-05
4.066875e+02	3.241248e-03	1.644393e-05
4.067188e+02	3.241811e-03	1.644984e-05
4.067500e+02	3.243972e-03	1.645573e-05
4.067812e+02	3.245652e-03	1.646162e-05
4.068125e+02	3.251391e-03	1.646753e-05
4.068438e+02	3.255792e-03	1.647344e-05
4.068750e+02	3.258279e-03	1.647934e-05
4.069062e+02	3.262761e-03	1.648524e-05
4.069375e+02	3.271546e-03	1.649116e-05
4.069688e+02	3.272651e-03	1.649708e-05
4.070000e+02	3.623775e-03	1.650298e-05
4.070312e+02	3.279781e-03	1.650888e-05
4.070625e+02	3.282934e-03	1.651481e-05
4.070938e+02	3.289381e-03	1.652074e-05
4.071250e+02	3.291455e-03	1.652665e-05
4.071562e+02	3.296995e-03	1.653256e-05
4.071875e+02	3.300519e-03	1.653849e-05
4.072188e+02	3.300810e-03	1.654442e-05
4.072500e+02	3.302387e-03	1.655034e-05
4.072812e+02	3.304451e-03	1.655626e-05
4.073125e+02	3.305349e-03	1.656220e-05
4.073438e+02	3.312323e-03	1.656814e-05
4.073750e+02	3.312266e-03	1.657406e-05
4.074062e+02	3.310814e-03	1.657998e-05
4.074375e+02	3.307486e-03	1.658593e-05
4.074688e+02	3.311688e-03	1.659188e-05
4.075000e+02	3.325874e-03	1.659780e-05
4.075312e+02	3.321834e-03	1.660374e-05
4.075625e+02	3.325025e-03	1.660969e-05
4.075938e+02	3.325553e-03	1.661564e-05
4.076250e+02	3.328113e-03	1.662158e-05
4.076562e+02	3.330697e-03	1.662752e-05
4.076875e+02	3.330548e-03	1.663347e-05
4.077188e+02	3.332691e-03	1.663943e-05
4.077500e+02	3.338563e-03	1.664538e-05
4.077812e+02	3.339466e-03	1.665132e-05
4.078125e+02	3.341025e-03	1.665729e-05
4.078438e+02	3.342301e-03	1.666325e-05
4.078750e+02	3.345349e-03	1.666920e-05
4.079062e+02	3.347727e-03	1.667516e-05
4.079375e+02	3.348546e-03	1.668113e-05
4.079688e+02	3.347872e-03	1.668710e-05
4.080000e+02	3.862646e-03	1.669306e-05
4.080312e+02	3.351518e-03	1.669902e-05
4.080625e+02	3.354558e-03	1.670499e-05
4.080938e+02	3.357041e-03	1.671097e-05
4.081250e+02	3.360021e-03	1.671694e-05
4.081562e+02	3.363698e-03	1.672290e-05
4.081875e+02	3.367371e-03	1.672889e-05
4.082188e+02	3.371535e-03	1.673487e-05
4.082500e+02	3.377624e-03	1.674084e-05
4.082812e+02	3.382632e-03	1.674682e-05
4.083125e+02	3.387431e-03	1.675281e-05
4.083438e+02	3.397098e-03	1.675880e-05
4.083750e+02	3.403650e-03	1.676478e-05
4.084062e+02	3.410496e-03	1.677076e-05
4.084375e+02	3.414404e-03	1.677676e-05
4.084688e+02	3.422319e-03	1.678276e-05
4.085000e+02	3.435137e-03	1.678874e-05
4.085312e+02	3.439789e-03	1.679472e-05
4.085625e+02	3.447116e-03	1.680073e-05
4.085938e+02	3.451968e-03	1.680674e-05
4.086250e+02	3.453824e-03	1.681273e-05
4.086562e+02	3.463332e-03	1.681872e-05
4.086875e+02	3.467262e-03	1.682473e-05
4.087188e+02	3.477007e-03	1.683074e-05
4.087500e+02	3.488358e-03	1.683674e-05
4.087812e+02	3.500430e-03	1.684274e-05
4.088125e+02	3.508736e-03	1.684876e-05
4.088438e+02	3.513968e-03	1.685478e-05
4.088750e+02	3.519403e-03	1.686078e-05
4.089062e+02	3.529264e-03	1.686679e-05
4.089375e+02	3.541023e-03	1.687281e-05
4.089688e+02	3.552846e-03	1.687884e-05
4.090000e+02	4.292754e-03	1.688485e-05
4.090312e+02	3.574534e-03	1.689086e-05
4.090625e+02	3.588451e-03	1.689689e-05
4.090938e+02	3.596802e-03	1.690293e-05
4.091250e+02	3.610580e-03	1.690895e-05
4.091562e+02	3.629586e-03	1.691496e-05
4.091875e+02	3.642943e-03	1.692100e-05
4.092188e+02	3.657208e-03	1.692704e-05
4.092500e+02	3.668455e-03	1.693307e-05
4.092812e+02	3.677366e-03	1.693909e-05
4.093125e+02	3.689131e-03	1.694514e-05
4.093438e+02	3.712329e-03	1.695119e-05
4.093750e+02	3.732713e-03	1.695722e-05
4.094062e+02	3.747618e-03	1.696325e-05
4.094375e+02	3.770675e-03	1.696930e-05
4.094688e+02	3.788453e-03	1.697536e-05
4.095000e+02	3.800892e-03	1.698139e-05
4.095312e+02	3.812815e-03	1.698743e-05
4.095625e+02	3.828209e-03	1.699349e-05
4.095938e+02	3.849400e-03	1.699955e-05
4.096250e+02	3.872204e-03	1.700560e-05
4.096562e+02	3.894946e-03	1.701164e-05
4.096875e+02	3.908298e-03	1.701771e-05
4.097188e+02	3.928751e-03	1.702378e-05
4.097500e+02	3.950086e-03	1.702983e-05
4.097812e+02	3.982316e-03	1.703588e-05
4.098125e+02	5.025878e-03	1.704195e-05
4.098438e+02	5.050979e-03	1.704803e-05
4.098750e+02	5.071448e-03	1.705409e-05
4.099062e+02	5.101922e-03	1.706015e-05
4.099375e+02	5.139020e-03	1.706623e-05
4.099688e+02	5.169930e-03	1.707231e-05
4.100000e+02	5.229320e-03	1.707837e-05
4.100312e+02	5.254798e-03	1.708444e-05
4.100625e+02	5.293520e-03	1.709052e-05
4.100938e+02	5.334313e-03	1.709661e-05
4.101250e+02	5.380694e-03	1.710268e-05
4.101562e+02	5.428036e-03	1.710876e-05
4.101875e+02	5.468405e-03	1.711485e-05
4.102188e+02	5.515507e-03	1.712095e-05
4.102500e+02	5.556746e-03	1.712702e-05
4.102812e+02	5.591644e-03	1.713310e-05
4.103125e+02	5.618015e-03	1.713920e-05
4.103438e+02	5.634551e-03	1.714530e-05
4.103750e+02	5.644239e-03	1.715139e-05
4.104062e+02	5.662152e-03	1.715748e-05
4.104375e+02	5.675316e-03	1.716358e-05
4.104688e+02	5.681211e-03	1.716969e-05
4.105000e+02	5.687659e-03	1.717578e-05
4.105312e+02	5.686613e-03	1.718188e-05
4.105625e+02	5.699830e-03	1.718799e-05
4.105938e+02	5.724209e-03	1.719411e-05
4.106250e+02	5.752132e-03	1.720020e-05
4.106562e+02	5.781536e-03	1.720630e-05
4.106875e+02	5.808404e-03	1.721242e-05
4.107188e+02	5.832493e-03	1.721855e-05
4.107500e+02	5.869644e-03	1.722465e-05
4.107812e+02	5.914780e-03	1.723076e-05
4.108125e+02	5.964247e-03	1.723689e-05
4.108438e+02	4.484010e-03	1.724302e-05
4.108750e+02	4.495323e-03	1.724913e-05
4.109062e+02	4.512666e-03	1.725524e-05
4.109375e+02	4.529397e-03	1.726138e-05
4.109688e+02	4.551982e-03	1.726751e-05
4.110000e+02	6.243335e-03	1.727363e-05
4.110312e+02	4.592517e-03	1.727975e-05
4.110625e+02	4.609051e-03	1.728589e-05
4.110938e+02	4.622328e-03	1.729204e-05
4.111250e+02	4.635334e-03	1.729816e-05
4.111562e+02	4.643635e-03	1.730429e-05
4.111875e+02	4.656207e-03	1.731044e-05
4.112188e+02	4.677233e-03	1.731659e-05
4.112500e+02	4.688450e-03	1.732272e-05
4.112812e+02	4.694865e-03	1.732885e-05
4.113125e+02	4.694476e-03	1.733501e-05
4.113438e+02	4.706544e-03	1.734116e-05
4.113750e+02	4.718878e-03	1.734730e-05
4.114062e+02	4.731367e-03	1.735344e-05
4.114375e+02	4.749432e-03	1.735961e-05
4.114688e+02	4.763569e-03	1.736577e-05
4.115000e+02	4.759133e-03	1.737192e-05
4.115312e+02	4.766101e-03	1.737806e-05
4.115625e+02	4.779175e-03	1.738423e-05
4.115938e+02	4.792958e-03	1.739040e-05
4.116250e+02	4.810134e-03	1.739656e-05
4.116562e+02	4.874481e-03	1.740271e-05
4.116875e+02	4.994315e-03	1.740889e-05
4.117188e+02	4.961163e-03	1.741506e-05
4.117500e+02	4.864813e-03	1.742122e-05
4.117812e+02	4.856628e-03	1.742738e-05
4.118125e+02	4.861772e-03	1.743357e-05
4.118438e+02	4.889626e-03	1.743975e-05
4.118750e+02	4.913847e-03	1.744592e-05
4.119062e+02	4.941576e-03	1.745209e-05
4.119375e+02	4.975419e-03	1.745827e-05
4.119688e+02	4.982732e-03	1.746447e-05
4.120000e+02	8.208651e-03	1.747064e-05
4.120312e+02	5.024650e-03	1.747681e-05
4.120625e+02	5.016350e-03	1.748301e-05
4.120938e+02	5.018617e-03	1.748921e-05
4.121250e+02	5.030164e-03	1.749539e-05
4.121562e+02	5.040013e-03	1.750157e-05
4.121875e+02	5.054709e-03	1.750777e-05
4.122188e+02	5.086262e-03	1.751398e-05
4.122500e+02	5.204964e-03	1.752017e-05
4.122812e+02	5.231001e-03	1.752635e-05
4.123125e+02	5.207003e-03	1.753257e-05
4.123438e+02	5.255670e-03	1.753878e-05
4.123750e+02	5.358660e-03	1.754497e-05
4.124062e+02	5.880444e-03	1.755117e-05
4.124375e+02	7.787315e-03	1.755738e-05
4.124688e+02	7.617390e-03	1.756360e-05
4.125000e+02	5.731053e-03	1.756980e-05
4.125312e+02	5.478238e-03	1.757601e-05
4.125625e+02	5.412025e-03	1.758223e-05
4.125938e+02	5.393925e-03	1.758846e-05
4.126250e+02	5.443514e-03	1.759466e-05
4.126562e+02	5.434956e-03	1.760087e-05
4.126875e+02	5.388919e-03	1.760710e-05
4.127188e+02	5.390512e-03	1.761334e-05
4.127500e+02	5.406733e-03	1.761955e-05
4.127812e+02	5.431302e-03	1.762577e-05
4.128125e+02	5.448825e-03	1.763201e-05
4.128438e+02	5.484102e-03	1.763824e-05
4.128750e+02	5.512729e-03	1.764447e-05
4.129062e+02	5.512933e-03	1.765069e-05
4.129375e+02	5.537195e-03	1.765693e-05
4.129688e+02	5.552945e-03	1.766318e-05
4.130000e+02	1.087658e-02	1.766941e-05
4.130312e+02	5.511557e-03	1.767564e-05
4.130625e+02	5.481469e-03	1.768189e-05
4.130938e+02	5.447572e-03	1.768814e-05
4.131250e+02	5.409291e-03	1.769438e-05
4.131562e+02	5.401232e-03	1.770062e-05
4.131875e+02	5.519143e-03	1.770688e-05
4.132188e+02	5.557093e-03	1.771314e-05
4.132500e+02	5.466871e-03	1.771938e-05
4.132812e+02	5.455801e-03	1.772562e-05
4.133125e+02	5.493033e-03	1.773189e-05
4.133438e+02	5.539572e-03	1.773816e-05
4.133750e+02	5.581290e-03	1.774440e-05
4.134062e+02	5.622464e-03	1.775066e-05
4.134375e+02	5.672743e-03	1.775693e-05
4.134688e+02	5.702386e-03	1.776320e-05
4.135000e+02	5.738620e-03	1.776946e-05
4.135312e+02	5.753527e-03	1.777572e-05
4.135625e+02	5.773004e-03	1.778200e-05
4.135938e+02	5.796806e-03	1.778828e-05
4.136250e+02	5.816982e-03	1.779454e-05
4.136562e+02	5.843020e-03	1.780080e-05
4.136875e+02	5.880352e-03	1.780709e-05
4.137188e+02	5.898728e-03	1.781338e-05
4.137500e+02	5.924776e-03	1.781965e-05
4.137812e+02	5.955590e-03	1.782592e-05
4.138125e+02	5.978959e-03	1.783221e-05
4.138438e+02	6.005121e-03	1.783851e-05
4.138750e+02	6.036775e-03	1.784479e-05
4.139062e+02	6.055714e-03	1.785107e-05
4.139375e+02	6.085707e-03	1.785737e-05
4.139688e+02	6.111259e-03	1.786387e-05
4.140000e+02	1.327785e-02	1.787060e-05
4.140312e+02	6.180595e-03	1.787734e-05
4.140625e+02	6.209656e-03	1.788409e-05
4.140938e+02	6.242647e-03	1.789085e-05
4.141250e+02	6.275282e-03	1.789760e-05
4.141562e+02	6.310399e-03	1.790434e-05
4.141875e+02	6.342642e-03	1.791111e-05
4.142188e+02	6.381288e-03	1.791787e-05
4.142500e+02	6.406394e-03	1.792462e-05
4.142812e+02	6.427249e-03	1.793137e-05
4.143125e+02	6.463401e-03	1.793815e-05
4.143438e+02	6.493577e-03	1.794493e-05
4.143750e+02	6.533919e-03	1.795168e-05
4.144062e+02	6.581111e-03	1.795844e-05
4.144375e+02	6.611060e-03	1.796523e-05
4.144688e+02	6.635075e-03	1.797201e-05
4.145000e+02	6.664535e-03	1.797878e-05
4.145312e+02	6.680451e-03	1.798554e-05
4.145625e+02	6.707095e-03	1.799233e-05
4.145938e+02	6.737935e-03	1.799913e-05
4.146250e+02	6.765074e-03	1.800590e-05
4.146562e+02	6.783448e-03	1.801268e-05
4.146875e+02	6.797847e-03	1.801948e-05
4.147188e+02	6.825151e-03	1.802628e-05
4.147500e+02	6.860867e-03	1.803306e-05
4.147812e+02	6.877345e-03	1.803984e-05
4.148125e+02	6.900393e-03	1.804665e-05
4.148438e+02	6.916470e-03	1.805346e-05
4.148750e+02	6.927693e-03	1.806025e-05
4.149062e+02	6.943351e-03	1.806704e-05
4.149375e+02	6.960051e-03	1.807386e-05
4.149688e+02	6.994135e-03	1.808068e-05
4.150000e+02	1.223420e-02	1.808747e-05
4.150312e+02	7.020923e-03	1.809427e-05
4.150625e+02	7.023623e-03	1.810110e-05
4.150938e+02	7.031369e-03	1.810792e-05
4.151250e+02	7.045049e-03	1.811473e-05
4.151562e+02	7.064754e-03	1.812154e-05
4.151875e+02	7.068447e-03	1.812837e-05
4.152188e+02	7.070121e-03	1.813521e-05
4.152500e+02	7.078774e-03	1.814202e-05
4.152812e+02	7.084722e-03	1.814884e-05
4.153125e+02	7.088260e-03	1.815568e-05
4.153438e+02	7.085716e-03	1.816252e-05
4.153750e+02	7.104466e-03	1.816934e-05
4.154062e+02	7.114797e-03	1.817617e-05
4.154375e+02	7.104921e-03	1.818302e-05
4.154688e+02	7.106709e-03	1.818987e-05
4.155000e+02	7.142185e-03	1.819670e-05
4.155312e+02	7.109726e-03	1.820353e-05
4.155625e+02	7.102023e-03	1.821039e-05
4.155938e+02	7.109051e-03	1.821725e-05
4.156250e+02	7.113096e-03	1.822409e-05
4.156562e+02	7.113623e-03	1.823093e-05
4.156875e+02	7.114324e-03	1.823779e-05
4.157188e+02	7.112779e-03	1.824466e-05
4.157500e+02	7.111592e-03	1.825151e-05
4.157812e+02	7.108562e-03	1.825836e-05
4.158125e+02	7.107031e-03	1.826523e-05
4.158438e+02	7.110459e-03	1.827211e-05
4.158750e+02	7.106917e-03	1.827896e-05
4.159062e+02	7.098396e-03	1.828582e-05
4.159375e+02	7.100316e-03	1.829270e-05
4.159688e+02	7.092428e-03	1.829958e-05
4.160000e+02	9.637851e-03	1.830645e-05
4.160312e+02	7.081369e-03	1.831331e-05
4.160625e+02	7.073184e-03	1.832020e-05
4.160938e+02	7.066509e-03	1.832710e-05
4.161250e+02	7.061074e-03	1.833397e-05
4.161562e+02	7.050624e-03	1.834084e-05
4.161875e+02	7.047024e-03	1.834774e-05
4.162188e+02	7.042839e-03	1.835464e-05
4.162500e+02	7.027156e-03	1.836152e-05
4.162812e+02	7.027192e-03	1.836840e-05
4.163125e+02	7.012944e-03	1.837531e-05
4.163438e+02	7.006937e-03	1.838222e-05
4.163750e+02	6.995899e-03	1.838911e-05
4.164062e+02	6.979512e-03	1.839600e-05
4.164375e+02	6.962488e-03	1.840291e-05
4.164688e+02	6.956682e-03	1.840983e-05
4.165000e+02	6.985218e-03	1.841673e-05
4.165312e+02	6.926976e-03	1.842363e-05
4.165625e+02	6.913828e-03	1.843055e-05
4.165938e+02	6.896693e-03	1.843748e-05
4.166250e+02	6.880215e-03	1.844438e-05
4.166562e+02	6.875001e-03	1.845129e-05
4.166875e+02	6.854830e-03	1.845822e-05
4.167188e+02	6.832636e-03	1.846515e-05
4.167500e+02	6.820154e-03	1.847207e-05
4.167812e+02	6.804588e-03	1.847898e-05
4.168125e+02	6.775893e-03	1.848592e-05
4.168438e+02	6.757392e-03	1.849286e-05
4.168750e+02	6.748220e-03	1.849979e-05
4.169062e+02	6.727443e-03	1.850671e-05
4.169375e+02	6.706008e-03	1.851366e-05
4.169688e+02	6.678212e-03	1.852061e-05
4.170000e+02	7.658040e-03	1.852754e-05
4.170312e+02	6.636446e-03	1.853447e-05
4.170625e+02	6.608347e-03	1.854143e-05
4.170938e+02	6.585917e-03	1.854839e-05
4.171250e+02	6.557463e-03	1.855532e-05
4.171562e+02	6.538771e-03	1.856226e-05
4.171875e+02	6.515117e-03	1.856923e-05
4.172188e+02	6.488734e-03	1.857620e-05
4.172500e+02	6.463394e-03	1.858314e-05
4.172812e+02	6.434556e-03	1.859009e-05
4.173125e+02	6.411312e-03	1.859706e-05
4.173438e+02	6.386912e-03	1.860404e-05
4.173750e+02	6.358341e-03	1.861100e-05
4.174062e+02	6.333032e-03	1.861795e-05
4.174375e+02	6.298381e-03	1.862493e-05
4.174688e+02	6.274016e-03	1.863192e-05
4.175000e+02	6.288575e-03	1.863888e-05
4.175312e+02	6.217157e-03	1.864585e-05
4.175625e+02	6.193589e-03	1.865284e-05
4.175938e+02	6.166236e-03	1.865983e-05
4.176250e+02	6.146294e-03	1.866680e-05
4.176562e+02	6.123764e-03	1.867377e-05
4.176875e+02	6.091745e-03	1.868077e-05
4.177188e+02	6.064337e-03	1.868777e-05
4.177500e+02	6.041724e-03	1.869475e-05
4.177812e+02	6.022265e-03	1.870174e-05
4.178125e+02	6.001380e-03	1.870874e-05
4.178438e+02	5.967487e-03	1.871575e-05
4.178750e+02	5.941603e-03	1.872274e-05
4.179062e+02	5.915573e-03	1.872973e-05
4.179375e+02	5.888681e-03	1.873674e-05
4.179688e+02	5.871194e-03	1.874376e-05
4.180000e+02	6.354143e-03	1.875076e-05
4.180312e+02	5.814304e-03	1.875776e-05
4.180625e+02	5.789400e-03	1.876478e-05
4.180938e+02	5.762694e-03	1.877181e-05
4.181250e+02	5.743126e-03	1.877881e-05
4.181562e+02	5.713838e-03	1.878582e-05
4.181875e+02	5.687733e-03	1.879285e-05
4.182188e+02	5.670246e-03	1.879989e-05
4.182500e+02	5.647621e-03	1.880690e-05
4.182812e+02	5.623961e-03	1.881391e-05
4.183125e+02	5.596741e-03	1.882095e-05
4.183438e+02	5.573868e-03	1.882800e-05
4.183750e+02	5.550244e-03	1.883502e-05
4.184062e+02	5.532344e-03	1.884204e-05
4.184375e+02	5.509413e-03	1.884909e-05
4.184688e+02	5.478466e-03	1.885614e-05
4.185000e+02	5.494826e-03	1.886317e-05
4.185312e+02	5.444429e-03	1.887021e-05
4.185625e+02	5.425003e-03	1.887726e-05
4.185938e+02	5.402922e-03	1.888432e-05
4.186250e+02	5.389772e-03	1.889136e-05
4.186562e+02	5.373250e-03	1.889840e-05
4.186875e+02	5.355203e-03	1.890547e-05
4.187188e+02	5.344886e-03	1.891253e-05
4.187500e+02	5.336491e-03	1.891958e-05
4.187812e+02	5.319624e-03	1.892663e-05
4.188125e+02	5.300366e-03	1.893371e-05
4.188438e+02	5.289023e-03	1.894078e-05
4.188750e+02	5.270985e-03	1.894784e-05
4.189062e+02	5.249585e-03	1.895489e-05
4.189375e+02	5.233841e-03	1.896198e-05
4.189688e+02	5.220285e-03	1.896906e-05
4.190000e+02	5.481974e-03	1.897613e-05
4.190312e+02	5.199873e-03	1.898319e-05
4.190625e+02	5.189661e-03	1.899028e-05
4.190938e+02	5.175005e-03	1.899738e-05
4.191250e+02	5.164731e-03	1.900445e-05
4.191562e+02	5.159782e-03	1.901152e-05
4.191875e+02	5.144892e-03	1.901862e-05
4.192188e+02	5.129696e-03	1.902572e-05
4.192500e+02	5.121581e-03	1.903280e-05
4.192812e+02	5.112671e-03	1.903989e-05
4.193125e+02	5.101183e-03	1.904700e-05
4.193438e+02	5.096787e-03	1.905411e-05
4.193750e+02	5.087356e-03	1.906120e-05
4.194062e+02	5.079288e-03	1.906829e-05
4.194375e+02	5.069920e-03	1.907540e-05
4.194688e+02	5.064136e-03	1.908252e-05
4.195000e+02	5.093609e-03	1.908962e-05
4.195312e+02	5.042718e-03	1.909672e-05
4.195625e+02	5.033754e-03	1.910384e-05
4.195938e+02	5.026819e-03	1.911097e-05
4.196250e+02	5.016301e-03	1.911808e-05
4.196562e+02	5.009186e-03	1.912519e-05
4.196875e+02	5.016828e-03	1.913232e-05
4.197188e+02	5.044732e-03	1.913945e-05
4.197500e+02	5.107684e-03	1.914657e-05
4.197812e+02	5.199374e-03	1.915369e-05
4.198125e+02	5.338481e-03	1.916083e-05
4.198438e+02	5.524767e-03	1.916797e-05
4.198750e+02	5.725028e-03	1.917510e-05
4.199062e+02	inf	1.918222e-05
4.199375e+02	inf	1.918937e-05
4.199688e+02	inf	1.919652e-05
4.200000e+02	inf	1.920365e-05
4.200312e+02	inf	1.921079e-05
4.200625e+02	inf	1.921795e-05
4.200938e+02	inf	1.922511e-05
4.201250e+02	5.660000e-03	1.923225e-05
4.201562e+02	5.363076e-03	1.923939e-05
4.201875e+02	5.090862e-03	1.924656e-05
4.202188e+02	4.885629e-03	1.925373e-05
4.202500e+02	4.741124e-03	1.926088e-05
4.202812e+02	4.653422e-03	1.926803e-05
4.203125e+02	4.601967e-03	1.927520e-05
4.203438e+02	4.569362e-03	1.928238e-05
4.203750e+02	4.545684e-03	1.928954e-05
4.204062e+02	4.519751e-03	1.929670e-05
4.204375e+02	4.495602e-03	1.930388e-05
4.204688e+02	4.466732e-03	1.931107e-05
4.205000e+02	4.471056e-03	1.931823e-05
4.205312e+02	4.412485e-03	1.932540e-05
4.205625e+02	4.385634e-03	1.933260e-05
4.205938e+02	4.364893e-03	1.933979e-05
4.206250e+02	4.342340e-03	1.934697e-05
4.206562e+02	4.318405e-03	1.935414e-05
4.206875e+02	4.294638e-03	1.936134e-05
4.207188e+02	4.268570e-03	1.936855e-05
4.207500e+02	4.236893e-03	1.937573e-05
4.207812e+02	4.216430e-03	1.938291e-05
4.208125e+02	4.195209e-03	1.939012e-05
4.208438e+02	4.165474e-03	1.939734e-05
4.208750e+02	4.140864e-03	1.940453e-05
4.209062e+02	4.123106e-03	1.941172e-05
4.209375e+02	4.107686e-03	1.941894e-05
4.209688e+02	4.085480e-03	1.942616e-05
4.210000e+02	4.188342e-03	1.943336e-05
4.210312e+02	4.044357e-03	1.944056e-05
4.210625e+02	4.026810e-03	1.944779e-05
4.210938e+02	4.003543e-03	1.945502e-05
4.211250e+02	3.982839e-03	1.946223e-05
4.211562e+02	3.958524e-03	1.946944e-05
4.211875e+02	3.932699e-03	1.947667e-05
4.212188e+02	3.917966e-03	1.948391e-05
4.212500e+02	3.900452e-03	1.949113e-05
4.212812e+02	3.880913e-03	1.949835e-05
4.213125e+02	3.863980e-03	1.950559e-05
4.213438e+02	3.843511e-03	1.951284e-05
4.213750e+02	3.820060e-03	1.952007e-05
4.214062e+02	3.798480e-03	1.952729e-05
4.214375e+02	3.780375e-03	1.953455e-05
4.214688e+02	3.766374e-03	1.954180e-05
4.215000e+02	3.772453e-03	1.954904e-05
4.215312e+02	3.733266e-03	1.955627e-05
4.215625e+02	3.721745e-03	1.956353e-05
4.215938e+02	3.705935e-03	1.957080e-05
4.216250e+02	3.691269e-03	1.957804e-05
4.216562e+02	3.681195e-03	1.958528e-05
4.216875e+02	3.666961e-03	1.959256e-05
4.217188e+02	3.648118e-03	1.959983e-05
4.217500e+02	3.632979e-03	1.960708e-05
4.217812e+02	3.614540e-03	1.961433e-05
4.218125e+02	3.597234e-03	1.962161e-05
4.218438e+02	3.577830e-03	1.962889e-05
4.218750e+02	3.558678e-03	1.963615e-05
4.219062e+02	3.544908e-03	1.964341e-05
4.219375e+02	3.529199e-03	1.965070e-05
4.219688e+02	3.511878e-03	1.965799e-05
4.220000e+02	3.598167e-03	1.966526e-05
4.220312e+02	3.479777e-03	1.967253e-05
4.220625e+02	3.461389e-03	1.967983e-05
4.220938e+02	3.441194e-03	1.968713e-05
4.221250e+02	3.426419e-03	1.969440e-05
4.221562e+02	3.409164e-03	1.970168e-05
4.221875e+02	3.394554e-03	1.970899e-05
4.222188e+02	3.380850e-03	1.971629e-05
4.222500e+02	3.363366e-03	1.972358e-05
4.222812e+02	3.348434e-03	1.973087e-05
4.223125e+02	3.337636e-03	1.973818e-05
4.223438e+02	3.324932e-03	1.974550e-05
4.223750e+02	3.309374e-03	1.975279e-05
4.224062e+02	3.291810e-03	1.976009e-05
4.224375e+02	3.276965e-03	1.976741e-05
4.224688e+02	3.265232e-03	1.977473e-05
4.225000e+02	3.270340e-03	1.978204e-05
4.225312e+02	3.244610e-03	1.978934e-05
4.225625e+02	3.234015e-03	1.979667e-05
4.225938e+02	3.224504e-03	1.980401e-05
4.226250e+02	3.213387e-03	1.981132e-05
4.226562e+02	3.198431e-03	1.981863e-05
4.226875e+02	3.187392e-03	1.982597e-05
4.227188e+02	3.182135e-03	1.983331e-05
4.227500e+02	3.170407e-03	1.984063e-05
4.227812e+02	3.158454e-03	1.984796e-05
4.228125e+02	3.148909e-03	1.985530e-05
4.228438e+02	3.137722e-03	1.986265e-05
4.228750e+02	3.128239e-03	1.986998e-05
4.229062e+02	3.120595e-03	1.987731e-05
4.229375e+02	3.113250e-03	1.988467e-05
4.229688e+02	3.102900e-03	1.989203e-05
4.230000e+02	3.207130e-03	1.989937e-05
4.230312e+02	3.081502e-03	1.990671e-05
4.230625e+02	3.075090e-03	1.991407e-05
4.230938e+02	3.063955e-03	1.992144e-05
4.231250e+02	3.057452e-03	1.992879e-05
4.231562e+02	3.050407e-03	1.993614e-05
4.231875e+02	3.042313e-03	1.994351e-05
4.232188e+02	3.033049e-03	1.995089e-05
4.232500e+02	3.025754e-03	1.995824e-05
4.232812e+02	3.018501e-03	1.996560e-05
4.233125e+02	3.013859e-03	1.997298e-05
4.233438e+02	3.005486e-03	1.998037e-05
4.233750e+02	2.997126e-03	1.998773e-05
4.234062e+02	2.990553e-03	1.999510e-05
4.234375e+02	2.985567e-03	2.000249e-05
