% Created using /stochastic/trunk/tools/piCurves/piCurve.py
% and /home/andrew.matas/repositories/stochastic/trunk/analyses/O2/iso/results/PI_curve/make_o1o2_py_curve.py
%
# f (Hz)	sigma(f)	PI(f)
2.400000e+01	4.887977e-07	2.900380e-08
2.403125e+01	4.611416e-07	2.870344e-08
2.406250e+01	4.587143e-07	2.841714e-08
2.409375e+01	4.552522e-07	2.813578e-08
2.412500e+01	4.487936e-07	2.785757e-08
2.415625e+01	4.437151e-07	2.758247e-08
2.418750e+01	4.514501e-07	2.731043e-08
2.421875e+01	4.489269e-07	2.704142e-08
2.425000e+01	4.379583e-07	2.677844e-08
2.428125e+01	4.422193e-07	2.652673e-08
2.431250e+01	4.298000e-07	2.627771e-08
2.434375e+01	4.216420e-07	2.603134e-08
2.437500e+01	4.188259e-07	2.578759e-08
2.440625e+01	4.152536e-07	2.554643e-08
2.443750e+01	4.114202e-07	2.530783e-08
2.446875e+01	4.079759e-07	2.507355e-08
2.450000e+01	4.067742e-07	2.485054e-08
2.453125e+01	4.010632e-07	2.462978e-08
2.456250e+01	3.976766e-07	2.441127e-08
2.459375e+01	3.960120e-07	2.419497e-08
2.462500e+01	4.201158e-07	2.398086e-08
2.465625e+01	4.196877e-07	2.376891e-08
2.468750e+01	3.902932e-07	2.355909e-08
2.471875e+01	3.826882e-07	2.335653e-08
2.475000e+01	3.801868e-07	2.316062e-08
2.478125e+01	3.798564e-07	2.296661e-08
2.481250e+01	3.784260e-07	2.277446e-08
2.484375e+01	3.752930e-07	2.258416e-08
2.487500e+01	3.740959e-07	2.239569e-08
2.490625e+01	3.745652e-07	2.220902e-08
2.493750e+01	1.256356e-06	2.202414e-08
2.496875e+01	1.308793e-06	2.184348e-08
2.500000e+01	4.319186e-06	2.167113e-08
2.503125e+01	1.281205e-06	2.150035e-08
2.506250e+01	1.218905e-06	2.133113e-08
2.509375e+01	3.614364e-07	2.116344e-08
2.512500e+01	3.567131e-07	2.099729e-08
2.515625e+01	3.501738e-07	2.083264e-08
2.518750e+01	3.444067e-07	2.066948e-08
2.521875e+01	3.396805e-07	2.050780e-08
2.525000e+01	3.341115e-07	2.035055e-08
2.528125e+01	3.287245e-07	2.020009e-08
2.531250e+01	3.244272e-07	2.005092e-08
2.534375e+01	3.197677e-07	1.990303e-08
2.537500e+01	3.166384e-07	1.975642e-08
2.540625e+01	3.128947e-07	1.961106e-08
2.543750e+01	3.093776e-07	1.946695e-08
2.546875e+01	3.067894e-07	1.932408e-08
2.550000e+01	3.027341e-07	1.918242e-08
2.553125e+01	2.942260e-07	1.904198e-08
2.556250e+01	2.897220e-07	1.890817e-08
2.559375e+01	2.962932e-07	1.877772e-08
2.562500e+01	3.188381e-07	1.864832e-08
2.565625e+01	2.920354e-07	1.851998e-08
2.568750e+01	2.786817e-07	1.839267e-08
2.571875e+01	2.730476e-07	1.826638e-08
2.575000e+01	2.687480e-07	1.814112e-08
2.578125e+01	2.664681e-07	1.801687e-08
2.581250e+01	2.645004e-07	1.789361e-08
2.584375e+01	2.620077e-07	1.777135e-08
2.587500e+01	2.597806e-07	1.765189e-08
2.590625e+01	2.594339e-07	1.753862e-08
2.593750e+01	2.580394e-07	1.742622e-08
2.596875e+01	2.578026e-07	1.731467e-08
2.600000e+01	2.736813e-07	1.720396e-08
